job_shipment_id,days_late
5510861,0
5510862,0
5510863,0
5510864,0
5510865,0
5510866,1
5510867,0
5510868,0
5510869,0
5510870,0
5510871,3
5510872,0
5510873,2
5510874,2
5510875,0
5510876,0
5510877,0
5510878,2
5510879,0
5510880,0
5510881,0
5510882,0
5510883,0
5510884,0
5510885,0
5510886,3
5510887,0
5510888,0
5510889,0
5510890,0
5510891,0
5510892,0
5510893,2
5510894,0
5510895,0
5510896,0
5510897,1
5510898,0
5510899,2
5510900,0
5510901,1
5510902,0
5510903,2
5510904,0
5510905,0
5510906,0
5510907,0
5510908,1
5510909,0
5510910,0
5510911,0
5510912,0
5510913,0
5510914,0
5510915,0
5510916,0
5510917,0
5510918,0
5510919,0
5510920,0
5510921,0
5510922,0
5510923,0
5510924,0
5510925,0
5510926,2
5510927,0
5510928,2
5510929,1
5510930,0
5510931,0
5510932,0
5510933,0
5510934,0
5510935,3
5510936,0
5510937,1
5510938,0
5510939,3
5510940,0
5510941,0
5510942,0
5510943,0
5510944,0
5510945,0
5510946,0
5510947,0
5510948,0
5510949,0
5510950,2
5510951,3
5510952,1
5510953,0
5510954,0
5510955,0
5510956,3
5510957,0
5510958,3
5510959,0
5510960,0
5510961,0
5510962,0
5510963,0
5510964,0
5510965,0
5510966,0
5510967,0
5510968,0
5510753,0
5510754,0
5510755,1
5510756,0
5510757,3
5510758,0
5510759,0
5510760,0
5510761,0
5510762,0
5510763,1
5510764,0
5510765,2
5510766,0
5510767,0
5510768,3
5510769,0
5510770,0
5510771,0
5510772,0
5510773,0
5510774,3
5510775,0
5510776,3
5510777,0
5510778,0
5510779,0
5510780,0
5510781,0
5510782,0
5510783,0
5510784,1
5510785,0
5510786,0
5510787,0
5510788,2
5510789,3
5510790,0
5510791,0
5510792,1
5510793,0
5510794,0
5510795,0
5510796,0
5510797,0
5510798,0
5510799,0
5510800,0
5510801,0
5510802,3
5510803,0
5510804,0
5510805,0
5510806,3
5510807,1
5510808,0
5510809,0
5510810,3
5510811,2
5510812,0
5510813,0
5510814,0
5510815,0
5510816,1
5510817,2
5510818,3
5510819,0
5510820,0
5510821,3
5510822,0
5510823,1
5510824,0
5510825,0
5510826,0
5510827,2
5510828,1
5510829,2
5510830,0
5510831,0
5510832,0
5510833,0
5510834,0
5510835,0
5510836,0
5510837,1
5510838,0
5510839,0
5510840,0
5510841,0
5510842,2
5510843,0
5510844,3
5510845,0
5510846,0
5510847,0
5510848,3
5510849,0
5510850,0
5510851,0
5510852,0
5510853,1
5510854,0
5510855,0
5510856,0
5510857,0
5510858,2
5510859,0
5510860,0
5510646,3
5510647,0
5510648,3
5510649,0
5510650,0
5510651,0
5510652,0
5510653,0
5510654,0
5510655,0
5510656,0
5510657,0
5510658,0
5510659,0
5510660,0
5510661,1
5510662,0
5510663,0
5510664,0
5510665,0
5510666,0
5510667,0
5510668,0
5510669,0
5510670,0
5510671,1
5510672,0
5510673,2
5510674,3
5510675,0
5510676,0
5510677,0
5510678,0
5510679,0
5510680,0
5510681,0
5510682,0
5510683,0
5510684,2
5510685,0
5510686,0
5510687,2
5510688,0
5510689,0
5510690,0
5510691,0
5510692,2
5510693,1
5510694,0
5510695,2
5510696,0
5510697,1
5510698,0
5510699,0
5510700,0
5510701,0
5510702,0
5510703,0
5510704,0
5510705,0
5510706,0
5510707,0
5510708,0
5510709,0
5510710,1
5510711,0
5510712,0
5510713,2
5510714,0
5510715,0
5510716,0
5510717,0
5510718,2
5510719,1
5510720,0
5510721,0
5510722,3
5510723,3
5510724,2
5510725,0
5510726,2
5510727,0
5510728,3
5510729,2
5510730,3
5510731,3
5510732,0
5510733,0
5510734,0
5510735,0
5510736,0
5510737,0
5510738,3
5510739,0
5510740,2
5510741,0
5510742,0
5510743,0
5510744,0
5510745,0
5510746,0
5510747,0
5510748,0
5510749,0
5510750,3
5510751,0
5510752,0
5510538,0
5510539,2
5510540,0
5510541,0
5510542,3
5510543,0
5510544,0
5510545,2
5510546,0
5510547,0
5510548,1
5510549,0
5510550,0
5510551,0
5510552,0
5510553,0
5510554,0
5510555,0
5510556,0
5510557,0
5510558,0
5510559,1
5510560,0
5510561,0
5510562,0
5510563,0
5510564,0
5510565,0
5510566,0
5510567,0
5510568,0
5510569,0
5510570,2
5510571,0
5510572,3
5510573,0
5510574,0
5510575,0
5510576,0
5510577,2
5510578,3
5510579,1
5510580,0
5510581,0
5510582,0
5510583,0
5510584,0
5510585,0
5510586,0
5510587,0
5510588,0
5510589,0
5510590,0
5510591,0
5510592,0
5510593,2
5510594,0
5510595,0
5510596,0
5510597,0
5510598,0
5510599,3
5510600,0
5510601,0
5510602,3
5510603,1
5510604,0
5510605,0
5510606,0
5510607,0
5510608,0
5510609,0
5510610,0
5510611,0
5510612,0
5510613,0
5510614,0
5510615,0
5510616,0
5510617,0
5510618,3
5510619,0
5510620,0
5510621,0
5510622,3
5510623,0
5510624,1
5510625,0
5510626,0
5510627,0
5510628,0
5510629,0
5510630,0
5510631,2
5510632,0
5510633,0
5510634,1
5510635,0
5510636,3
5510637,0
5510638,2
5510639,0
5510640,0
5510641,0
5510642,0
5510643,0
5510644,3
5510645,0
5510431,0
5510432,3
5510433,0
5510434,0
5510435,0
5510436,0
5510437,0
5510438,0
5510439,0
5510440,3
5510441,0
5510442,0
5510443,0
5510444,0
5510445,0
5510446,0
5510447,1
5510448,0
5510449,0
5510450,0
5510451,0
5510452,0
5510453,0
5510454,0
5510455,1
5510456,0
5510457,1
5510458,0
5510459,0
5510460,0
5510461,0
5510462,0
5510463,0
5510464,0
5510465,2
5510466,3
5510467,0
5510468,0
5510469,0
5510470,0
5510471,0
5510472,0
5510473,1
5510474,0
5510475,0
5510476,0
5510477,0
5510478,0
5510479,1
5510480,0
5510481,0
5510482,3
5510483,0
5510484,0
5510485,0
5510486,0
5510487,3
5510488,0
5510489,3
5510490,0
5510491,0
5510492,3
5510493,0
5510494,2
5510495,0
5510496,3
5510497,0
5510498,1
5510499,0
5510500,0
5510501,3
5510502,0
5510503,2
5510504,0
5510505,0
5510506,3
5510507,0
5510508,0
5510509,1
5510510,0
5510511,0
5510512,0
5510513,0
5510514,0
5510515,0
5510516,0
5510517,1
5510518,0
5510519,0
5510520,0
5510521,0
5510522,2
5510523,0
5510524,3
5510525,0
5510526,0
5510527,0
5510528,1
5510529,0
5510530,0
5510531,0
5510532,2
5510533,0
5510534,0
5510535,0
5510536,3
5510537,0
5510324,0
5510325,2
5510326,0
5510327,0
5510328,0
5510329,0
5510330,2
5510331,0
5510332,0
5510333,0
5510334,0
5510335,0
5510336,0
5510337,0
5510338,0
5510339,0
5510340,0
5510341,2
5510342,0
5510343,0
5510344,0
5510345,2
5510346,0
5510347,0
5510348,3
5510349,1
5510350,0
5510351,2
5510352,0
5510353,0
5510354,3
5510355,3
5510356,0
5510357,0
5510358,0
5510359,0
5510360,1
5510361,3
5510362,3
5510363,0
5510364,0
5510365,0
5510366,0
5510367,0
5510368,0
5510369,0
5510370,1
5510371,0
5510372,1
5510373,0
5510374,0
5510375,0
5510376,0
5510377,3
5510378,0
5510379,1
5510380,0
5510381,0
5510382,1
5510383,0
5510384,0
5510385,0
5510386,0
5510387,0
5510388,0
5510389,0
5510390,0
5510391,1
5510392,0
5510393,0
5510394,2
5510395,0
5510396,0
5510397,0
5510398,0
5510399,2
5510400,0
5510401,0
5510402,1
5510403,0
5510404,1
5510405,2
5510406,0
5510407,0
5510408,2
5510409,3
5510410,0
5510411,1
5510412,0
5510413,0
5510414,3
5510415,0
5510416,0
5510417,0
5510418,0
5510419,0
5510420,0
5510421,0
5510422,1
5510423,0
5510424,2
5510425,0
5510426,0
5510427,0
5510428,0
5510429,0
5510430,3
5510217,0
5510218,0
5510219,0
5510220,0
5510221,2
5510222,0
5510223,0
5510224,2
5510225,0
5510226,3
5510227,0
5510228,0
5510229,2
5510230,0
5510231,0
5510232,0
5510233,0
5510234,2
5510235,0
5510236,3
5510237,0
5510238,0
5510239,0
5510240,0
5510241,1
5510242,3
5510243,0
5510244,0
5510245,2
5510246,0
5510247,0
5510248,0
5510249,0
5510250,0
5510251,0
5510252,0
5510253,3
5510254,0
5510255,0
5510256,0
5510257,0
5510258,0
5510259,1
5510260,0
5510261,0
5510262,3
5510263,0
5510264,0
5510265,3
5510266,0
5510267,0
5510268,0
5510269,3
5510270,1
5510271,0
5510272,0
5510273,1
5510274,0
5510275,1
5510276,0
5510277,0
5510278,0
5510279,0
5510280,0
5510281,0
5510282,0
5510283,1
5510284,1
5510285,0
5510286,0
5510287,0
5510288,0
5510289,0
5510290,0
5510291,0
5510292,0
5510293,0
5510294,0
5510295,0
5510296,0
5510297,0
5510298,0
5510299,2
5510300,3
5510301,1
5510302,2
5510303,0
5510304,0
5510305,0
5510306,2
5510307,0
5510308,2
5510309,0
5510310,1
5510311,0
5510312,0
5510313,0
5510314,3
5510315,3
5510316,0
5510317,0
5510318,1
5510319,0
5510320,0
5510321,0
5510322,0
5510323,0
5510109,0
5510110,0
5510111,0
5510112,0
5510113,0
5510114,0
5510115,0
5510116,0
5510117,0
5510118,1
5510119,0
5510120,0
5510121,2
5510122,3
5510123,0
5510124,0
5510125,0
5510126,0
5510127,0
5510128,0
5510129,0
5510130,0
5510131,0
5510132,0
5510133,0
5510134,3
5510135,0
5510136,0
5510137,3
5510138,3
5510139,1
5510140,1
5510141,0
5510142,0
5510143,3
5510144,0
5510145,0
5510146,0
5510147,0
5510148,0
5510149,0
5510150,0
5510151,3
5510152,0
5510153,0
5510154,0
5510155,2
5510156,0
5510157,0
5510158,3
5510159,3
5510160,1
5510161,0
5510162,0
5510163,0
5510164,0
5510165,0
5510166,0
5510167,2
5510168,1
5510169,0
5510170,0
5510171,0
5510172,0
5510173,0
5510174,0
5510175,0
5510176,0
5510177,0
5510178,3
5510179,0
5510180,0
5510181,0
5510182,2
5510183,0
5510184,0
5510185,0
5510186,1
5510187,2
5510188,0
5510189,1
5510190,0
5510191,1
5510192,3
5510193,1
5510194,0
5510195,0
5510196,0
5510197,0
5510198,1
5510199,0
5510200,0
5510201,0
5510202,0
5510203,0
5510204,0
5510205,3
5510206,3
5510207,0
5510208,0
5510209,0
5510210,0
5510211,1
5510212,0
5510213,0
5510214,0
5510215,0
5510216,0
5510001,0
5510002,0
5510003,0
5510004,2
5510005,0
5510006,0
5510007,3
5510008,0
5510009,0
5510010,0
5510011,3
5510012,3
5510013,0
5510014,0
5510015,0
5510016,0
5510017,0
5510018,0
5510019,0
5510020,0
5510021,0
5510022,0
5510023,0
5510024,0
5510025,0
5510026,0
5510027,0
5510028,3
5510029,3
5510030,0
5510031,3
5510032,0
5510033,0
5510034,0
5510035,0
5510036,0
5510037,0
5510038,0
5510039,1
5510040,0
5510041,0
5510042,0
5510043,0
5510044,0
5510045,0
5510046,1
5510047,0
5510048,1
5510049,1
5510050,0
5510051,0
5510052,0
5510053,0
5510054,0
5510055,0
5510056,3
5510057,0
5510058,0
5510059,0
5510060,0
5510061,0
5510062,0
5510063,0
5510064,0
5510065,0
5510066,0
5510067,0
5510068,0
5510069,0
5510070,0
5510071,0
5510072,0
5510073,0
5510074,2
5510075,0
5510076,0
5510077,0
5510078,3
5510079,0
5510080,1
5510081,0
5510082,0
5510083,3
5510084,0
5510085,1
5510086,0
5510087,2
5510088,0
5510089,0
5510090,2
5510091,0
5510092,0
5510093,0
5510094,0
5510095,2
5510096,0
5510097,0
5510098,0
5510099,0
5510100,0
5510101,0
5510102,0
5510103,0
5510104,2
5510105,0
5510106,0
5510107,0
5510108,0
5509894,0
5509895,0
5509896,0
5509897,0
5509898,3
5509899,0
5509900,2
5509901,0
5509902,0
5509903,0
5509904,3
5509905,0
5509906,2
5509907,0
5509908,1
5509909,2
5509910,3
5509911,0
5509912,0
5509913,0
5509914,2
5509915,0
5509916,0
5509917,0
5509918,1
5509919,3
5509920,0
5509921,0
5509922,0
5509923,1
5509924,0
5509925,0
5509926,0
5509927,1
5509928,2
5509929,0
5509930,0
5509931,0
5509932,0
5509933,0
5509934,0
5509935,0
5509936,0
5509937,1
5509938,0
5509939,0
5509940,0
5509941,0
5509942,0
